"ID","azimuth(degrees)","elevation(degrees)","radial diastance(km)"
"a0003737","57.92795458","-41.28330295","261225886.3"
"a0003752","182.8926484","-12.32361519","99703259.1"
"a0003757","358.2943758","-54.93115089","28946256.0"
"a0003800","120.8112231","33.11046818","299358045.1"
"a0003833","89.98659589","-40.46245052","299901780.5"
"a0003838","104.976838","-6.110170271","210764224.9"
"a0003854","346.3623775","14.11528977","128268825.2"
"a0003858","100.1194082","-33.23929921","372104379.1"
"a0003873","188.6611544","34.33140689","208030581.8"
"a0003880","82.32852961","-32.31017106","374293792.5"
"a0003908","70.64116829","-53.74925258","185007128.7"
"a0003920","89.938603","-51.77274123","324888866.7"
"a0003940","216.1526008","36.52483554","198032074.5"
"a0003988","97.06405939","-22.10793119","290753935.5"
"a0004015","86.30802052","-42.48269358","225075957.7"
"a0004031","356.4836828","-31.92093091","180033499.6"
"a0004034","119.2823411","-25.25077393","64112375.72"
"a0004055","94.9735462","-25.32367946","311768713.3"
"a0004116","200.390725","45.09205902","195542495.7"
"a0004125","96.44251343","-20.20758715","389862083.7"
"a0004142","336.2666914","44.32978513","123090962.2"
"a0004179","68.32029124","-57.25410929","143761667.3"
"a0004183","135.0260093","26.83673441","146823409.8"
"a0004197","112.6830936","16.2908918","87320042.73"
"a0004205","45.97020388","-47.44848902","233319819.8"
"a0004232","252.8785303","-13.80259527","139662172.3"
"a0004257","170.4790774","-39.35151388","99890723.97"
"a0004276","318.8111957","-34.715306","118278251.6"
"a0004341","118.4783362","14.95558405","71907089.68"
"a0004401","19.87422528","-1.931553235","79352550.9"
"a0004435","351.4736004","-10.59809661","123590046.3"
"a0004440","208.0385098","43.47763313","192811371.6"
"a0004450","119.1170111","2.654745939","223251402.8"
"a0004451","79.09162003","-24.94767264","348012862.0"
"a0004464","106.698403","-40.06507766","388212180.4"
"a0004483","69.73345324","-59.1597671","308945611.8"
"a0004486","116.6183889","2.793237478","248372955.7"
"a0004487","75.63593207","-51.25617314","235271919.9"
"a0004490","234.5632974","-86.07919704","236797836.9"
"a0004503","250.1872125","64.21453713","73340214.2"
"a0004531","150.3874808","74.79805294","228997152.4"
"a0004544","97.10135968","-39.94500789","209315916.7"
"a0004558","74.13821465","-32.79493575","297117595.8"
"a0004581","97.30095787","-45.04490352","75600705.13"
"a0004587","102.6829948","5.998735396","330591281.7"
"a0004596","134.0016697","-66.31928648","176055485.4"
"a0004660","153.273727","56.20205644","24504952.13"
"a0004674","250.509841","6.882226061","127890082.7"
"a0004688","295.1053769","-52.85074462","28409374.81"
"a0004690","20.66829684","-45.78913024","230123873.5"
"a0004713","112.3609016","9.04121602","402081060.5"
"a0004736","7.192960151","-33.30894616","189854340.4"
"a0004764","101.0243887","-25.5936421","410794665.1"
"a0004765","116.849624","56.71602659","296760780.8"
"a0004769","94.28639781","-21.08686251","72908213.84"
"a0004775","90.35373935","-40.01645892","296101082.7"
"a0004868","98.13100306","-2.83279906","413394511.2"
"a0004898","194.3802678","77.4445264","205199227.9"
"a0004910","91.44104227","-37.71674655","356390121.4"
"a0004947","48.60804791","-66.57844186","148426055.6"
"a0004953","108.8363002","24.73319648","120768320.2"
"a0004954","41.28217655","-47.04582742","143756248.1"
"a0004957","69.8877119","-25.48498669","263560524.2"
"a0004995","16.71283762","-38.35508703","197542649.5"
"a0005011","109.2857611","38.58051566","43665428.51"
"a0005038","114.3948821","-12.49063329","394717928.6"
