"ID","vx","vy","vz"
"a0002202","2600.36187634035","11877.4926879811","6284.03694337601"
"a0002204","-2317.169162898","5363.91755129391","-5557.96139606033"
"a0002212","4635.12282898813","-2425.62002351314","11091.2192572046"
"a0002253","8941.68453265162","11166.0142049804","21533.5653159704"
"a0002272","-3240.55549067731","3053.00578922767","-7786.34625293923"
"a0002329","6688.95087152239","5168.45350213198","16091.3139779325"
"a0002335","847.31186826114","459.456982736875","2046.95332289528"
"a0002368","7172.86988281759","10133.2371106894","17295.825783084"
"a0002423","6821.58600768495","15333.8621666714","16444.8020495834"
"a0002449","10413.0384188681","-30.4907608224999","25056.0966014393"
"a0002491","-2725.02625391761","-6820.50881426866","-6538.90405596062"
"a0002495","8236.24649952152","14829.7580110013","19826.7118436579"
"a0002577","-3073.60151559181","-898.026245738178","-7388.05709816484"
"a0002608","4749.14630148327","-11243.7309957911","11415.8545505097"
"a0002629","7421.37200881347","-3156.39949037321","17861.3640978455"
"a0002735","1732.19883663192","15096.904911372","4201.13611014266"
"a0002744","5454.15599255999","16307.7329445331","13161.8017568098"
"a0002937","8260.71171899279","12994.9458600895","19912.0292792978"
"a0002968","9708.59499230303","7888.17918808102","23387.6141541044"
"a0003022","-2163.80564506563","10954.2611688883","-5198.52929139247"
"a0003040","-1695.36176733767","5199.80537586938","-4044.88906206218"
"a0003043","3525.21498230581","17966.0571335649","8526.65501054309"
"a0003086","6156.12185703455","-15779.9695366145","14802.6475545415"
"a0003101","4686.0923919565","20185.4615381601","11278.4592413099"
"a0003102","7214.15497112312","9221.32162509503","17379.2088919231"
"a0003103","2766.9029575772","9557.1697138264","6688.69652579395"
"a0003122","4844.67063625664","10758.7941975531","11723.6351299541"
"a0003163","9112.85802225693","9723.56858390083","21947.2012053556"
"a0003169","-1691.26671921916","-7964.62905776184","-4056.74555914459"
"a0003198","-1616.56823687708","-6418.26022484062","-3882.47444966818"
"a0003199","3589.95015127983","10257.9223726389","8692.21306418266"
"a0003200","4009.55060820935","-841.458007799874","9654.19616991967"
"a0003225","9198.76296686711","13439.7201062043","22136.5319347377"
"a0003255","1050.93683406041","10725.5086152069","2555.75723138495"
"a0003266","3495.71676644255","17422.0887248948","8434.76507994639"
"a0003267","-1454.17285076876","11827.3266132689","-3460.3944157887"
"a0003270","-2040.21016547266","-3379.40677354733","-4883.85743245764"
"a0003271","8014.43450605024","8365.52617329765","19278.3496528711"
"a0003287","9984.22460665783","7892.20533981727","24040.8617222088"
"a0003288","4779.18100412799","-11279.7703213743","11480.851654669"
