id,time,min distance
a0007336,20000,64382769.4424612
a0007341,133795000,82625069.4135088
a0007345,148275000,29319870.250189
a0007350,144250000,75570042.5148827
a0007358,25000,65218481.1514761
a0007369,45895000,120358496.4472
a0007445,25000,22469018.8749622
a0007467,106415000,88991113.5100062
a0007474,119595000,96644046.4231481
a0007480,148645000,139740137.612083
a0007482,760000,19217813.0603916
a0007488,0,182879661.789552
a0007505,84150000,115882366.050615
a0007560,82080000,80224778.6194423
a0007579,137695000,109816939.664789
a0007604,129195000,208508704.619842
a0007660,14135000,133747103.669576
a0007723,156410000,129141885.152395
a0007747,200000,79919602.6229102
a0007753,55000,64431723.8940398
a0007778,90000,82544454.5233366
a0007781,475000,67781224.7543366
a0007783,490000,66535726.0891679
a0007816,149415000,158900249.437402
a0007818,90665000,210205229.934572
a0007822,128460000,146680268.996406
a0007829,1085000,100206677.762177
a0007839,79105000,20064889.3590835
a0007870,133595000,165592990.831876
a0007888,0,26120893.5767147
a0007889,660000,88876016.3342612
a0007958,0,2021225.01346233
a0007959,0,61988455.7521518
a0007977,137175000,156529422.67297
a0008013,565000,151722626.648859
a0008014,64075000,2934566.82575829
a0008024,143265000,148615385.830759
